"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_19","left lever","no reaction",20,"C","both paws",2.99573227355399,0,"both",0
"squirrel_1","left lever","exit",4,"C","both paws",1.38629436111989,9,"both",0
"squirrel_14","left lever","no reaction",1,"C","both paws",0,5,"both",0
"squirrel_14","right lever","no reaction",2,"C","both paws",0.693147180559945,0,"both",0
"squirrel_14","left lever","no reaction",3,"C","both paws",1.09861228866811,4,"both",0
"squirrel_14","left lever","no reaction",4,"C","both paws",1.38629436111989,0,"both",0
"squirrel_18","right lever","flinch",1,"P","left paw",0,1,"contra",0
"squirrel_18","right lever","no reaction",2,"P","right paw",0.693147180559945,4,"ipsi",0
"squirrel_18","right lever","no reaction",3,"P","right paw",1.09861228866811,1,"ipsi",0
"squirrel_18","right lever","no reaction",4,"P","right paw",1.38629436111989,1,"ipsi",0
"squirrel_18","right lever","no reaction",5,"P","right paw",1.6094379124341,1,"ipsi",0
"squirrel_18","right lever","no reaction",6,"P","both paws",1.79175946922805,0,"both",0
"squirrel_18","right lever","no reaction",7,"P","right paw",1.94591014905531,1,"ipsi",0
"squirrel_18","right lever","no reaction",8,"P","right paw",2.07944154167984,1,"ipsi",0
"squirrel_18","right lever","no reaction",9,"P","right paw",2.19722457733622,1,"ipsi",0
"squirrel_18","right lever","no reaction",10,"P","right paw",2.30258509299405,2,"ipsi",0
"squirrel_18","right lever","no reaction",11,"P","right paw",2.39789527279837,0,"ipsi",0
"squirrel_18","right lever","no reaction",12,"P","right paw",2.484906649788,0,"ipsi",0
