"Subject","cumulative_visits","solves_per_visit","latency_to_first_solve","consumption","total_time_present","age","sex","con_pres","log_cumulative_visits"
"squirrel_21",34,0,NA,0,5.9670000000001,"A","M",1,3.52636052461616
"squirrel_23",1,3,64.239,1,140.272,"A","F",0,0
"squirrel_23",2,0,NA,1,9.24000000000001,"A","F",0,0.693147180559945
"squirrel_23",3,1,10.066,1,14.833,"A","F",0,1.09861228866811
"squirrel_23",4,1,11.8,1,19.166,"A","F",0,1.38629436111989
"squirrel_23",5,0,NA,0,1.73400000000001,"A","F",1,1.6094379124341
"squirrel_23",6,2,6.59999999999997,1,19.233,"A","F",0,1.79175946922805
"squirrel_23",7,3,10.467,1,30.867,"A","F",1,1.94591014905531
"squirrel_23",8,2,3.69999999999993,1,46.8,"A","F",1,2.07944154167984
"squirrel_23",9,23,0.572999999999979,1,608.59,"A","F",0,2.19722457733622
"squirrel_23",10,1,1.29999999999995,1,4.93299999999999,"A","F",1,2.30258509299405
"squirrel_23",12,9,0.33400000000006,1,122.099,"A","F",1,2.484906649788
"squirrel_23",13,0,NA,0,3.20000000000005,"A","F",1,2.56494935746154
"squirrel_23",14,2,1.79999999999995,1,12.9000000000001,"A","F",1,2.63905732961526
"squirrel_23",15,0,NA,0,2.16700000000014,"A","F",0,2.70805020110221
"squirrel_23",16,3,4.20000000000005,1,33.933,"A","F",0,2.77258872223978
"squirrel_23",17,3,0.199999999999818,1,23.3,"A","F",1,2.83321334405622
"squirrel_23",18,4,1.06700000000001,1,71.1060000000002,"A","F",1,2.89037175789616
"squirrel_23",19,0,NA,0,8.86700000000019,"A","F",0,2.94443897916644
"squirrel_23",20,0,NA,0,11.5,"A","F",0,2.99573227355399
"squirrel_23",21,9,14.933,1,114.178,"A","F",0,3.04452243772342
"squirrel_23",23,6,12.0729999999999,1,52.7060000000001,"A","F",1,3.13549421592915
"squirrel_23",24,2,0.900000000000091,1,16.2660000000001,"A","F",1,3.17805383034795
"squirrel_23",25,1,2.26699999999983,1,6.39999999999964,"A","F",1,3.2188758248682
"squirrel_23",26,2,2.56700000000001,1,11.5340000000001,"A","F",1,3.25809653802148
"squirrel_23",27,2,5.63299999999981,1,1.33300000000008,"A","F",1,3.29583686600433
"squirrel_23",28,1,1.36599999999999,1,8.46600000000035,"A","F",1,3.3322045101752
