"Subject","cumulative_visits","solves_per_visit","latency_to_first_solve","consumption","total_time_present","age","sex","con_pres","log_cumulative_visits"
"squirrel_1",2,0,NA,0,14.433,"A","F",0,0.693147180559945
"squirrel_1",3,0,NA,0,3.666,"A","F",0,1.09861228866811
"squirrel_1",4,1,4.96699999999998,0,5.40000000000001,"A","F",0,1.38629436111989
"squirrel_1",5,0,NA,0,22.933,"A","F",0,1.6094379124341
"squirrel_10",1,0,NA,0,35.533,"P","F",0,0
"squirrel_25",1,0,NA,0,17.766,"A","F",0,0
"squirrel_25",2,0,NA,0,19.033,"A","F",0,0.693147180559945
"squirrel_14",1,0,NA,1,70.099,"P","F",0,0
"squirrel_14",2,0,NA,1,50.6,"P","F",0,0.693147180559945
"squirrel_31",1,0,NA,0,3.333,"P","F",0,0
"squirrel_31",2,0,NA,0,5,"P","F",1,0.693147180559945
